,Company,TypeName,Ram,Weight,Price,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os,ScreenSize
21,Lenovo,Gaming,8,2.5,10.8823158,0,1,141.2119981,Intel Core i5,1000,128,Nvidia,Windows,353.0299952
22,HP,Notebook,4,1.86,9.528520611,0,0,100.4546699,AMD Processor,500,0,AMD,Others,186.8456859
23,Dell,2 in 1 Convertible,8,1.62,10.68364511,1,0,165.6321181,Intel Core i5,0,256,Intel,Windows,268.3240312
24,HP,Ultrabook,8,1.91,10.46628456,0,0,141.2119981,Intel Core i7,0,256,Intel,Windows,269.7149163
25,Dell,Notebook,4,2.3,10.01257239,0,0,100.4546699,Intel Core i3,1000,0,Intel,Windows,231.0457407
26,Apple,Ultrabook,8,1.35,10.97771698,0,0,127.6779401,Intel Core i5,0,0,Intel,Mac,172.3652192
27,Dell,Notebook,8,2.2,10.66017275,0,0,141.2119981,Intel Core i5,0,256,AMD,Windows,310.6663958
28,Dell,Ultrabook,8,1.88,11.14414092,0,0,141.2119981,Intel Core i7,0,512,Intel,Windows,265.4785564
29,HP,Notebook,8,2.5,10.77350144,0,0,127.3356746,Intel Core i5,1000,0,Nvidia,Windows,318.3391864
30,Chuwi,Notebook,4,1.89,9.47677842,0,0,141.2119981,Other Intel Processor,0,0,Intel,Windows,266.8906764
31,Asus,Notebook,2,1.65,9.268865851,0,0,111.9352036,AMD Processor,0,0,AMD,Windows,184.6930859
32,HP,Notebook,4,2.71,10.06006044,0,0,127.3356746,AMD Processor,500,0,AMD,Windows,345.0796781
33,Dell,Ultrabook,16,1.2,11.50871983,1,0,276.0535301,Intel Core i7,0,512,Intel,Windows,331.2642361
34,Apple,Ultrabook,8,1.35,10.8813143,0,0,127.6779401,Intel Core i5,0,0,Intel,Mac,172.3652192
35,Lenovo,Notebook,4,1.44,9.493013923,0,0,111.9352036,Other Intel Processor,0,0,Intel,Windows,161.1866931
36,Acer,Notebook,4,2.1,9.880922874,0,0,100.4546699,Intel Core i3,1000,0,Intel,Others,210.9548067
37,Dell,Notebook,8,2.8,10.86209267,0,1,127.3356746,Intel Core i5,1000,128,AMD,Windows,356.5398888
38,HP,Notebook,4,1.86,10.16728937,0,0,100.4546699,Intel Core i5,1000,0,Intel,Windows,186.8456859
39,HP,Notebook,8,2.1,10.75434592,0,0,141.2119981,Intel Core i5,0,256,Nvidia,Windows,296.545196
40,Asus,Notebook,4,2,9.93914037,0,0,141.2119981,Intel Core i3,1000,0,Intel,Others,282.4239962
41,Dell,Gaming,16,2.65,11.28811452,0,1,141.2119981,Intel Core i7,1000,256,Nvidia,Windows,374.2117949
42,Asus,Notebook,8,2.3,10.23512337,0,0,100.4546699,Intel Core i5,1000,0,Nvidia,Others,231.0457407
43,Acer,Notebook,4,2.2,10.50059068,0,1,141.2119981,Intel Core i5,0,256,Intel,Windows,310.6663958
44,Dell,2 in 1 Convertible,12,2.77,10.8823158,1,0,127.3356746,Intel Core i5,1000,0,Nvidia,Windows,352.7198186
45,Apple,Ultrabook,8,1.37,11.2332687,0,1,226.9830047,Intel Core i5,0,256,Intel,Mac,310.9667164
46,Lenovo,Notebook,4,2.2,9.88635767,0,0,100.4546699,Intel Core i3,0,128,Intel,Others,221.0002737
47,Asus,Gaming,8,3.2,11.14491104,0,0,127.3356746,AMD Processor,1000,256,AMD,Windows,407.4741586
48,Dell,Notebook,4,2.3,10.43546548,0,0,141.2119981,Intel Core i5,0,256,AMD,Windows,324.7875956
49,Asus,Notebook,4,2.8,10.11974666,0,0,90.58340172,Other Intel Processor,1000,0,Nvidia,Windows,253.6335248
50,Lenovo,2 in 1 Convertible,4,0.69,9.740752129,1,1,224.1738091,Other Intel Processor,0,0,Intel,Others,154.6799283
51,Acer,Notebook,8,2.2,10.71015269,0,1,141.2119981,Intel Core i7,0,256,Nvidia,Windows,310.6663958
52,HP,Notebook,4,1.86,9.96324343,0,0,141.2119981,AMD Processor,0,256,AMD,Windows,262.6543164
53,HP,Notebook,8,1.49,10.98135005,0,0,165.6321181,Intel Core i7,0,512,Intel,Windows,246.7918559
54,Acer,Notebook,4,2.4,9.926203579,0,0,100.4546699,Intel Core i3,1000,0,Intel,Windows,241.0912077
55,Dell,Notebook,8,2.13,10.61909031,0,0,141.2119981,Intel Core i7,0,256,AMD,Windows,300.7815559
56,HP,Notebook,4,1.91,10.06006044,0,0,141.2119981,Intel Core i3,0,128,Intel,Windows,269.7149163
57,Asus,Notebook,4,2,10.349205,0,0,100.4546699,Intel Core i5,0,256,Intel,Windows,200.9093397
58,MSI,Gaming,16,2.43,11.77899608,0,0,127.3356746,Intel Core i7,2000,256,Nvidia,Windows,309.4256892
59,Asus,Notebook,4,2,10.00383955,0,0,141.2119981,Intel Core i3,0,256,Intel,Others,282.4239962
60,Dell,Notebook,16,2.8,11.14491104,0,0,127.3356746,Intel Core i7,2000,256,AMD,Windows,356.5398888
61,Dell,Ultrabook,8,1.7,10.75434592,0,0,157.3505121,Intel Core i5,0,256,Intel,Windows,267.4958707
62,Lenovo,Notebook,8,1.7,10.37082262,0,1,157.3505121,Intel Core i3,0,256,Intel,Others,267.4958707
63,Asus,Notebook,8,1.4,10.82250417,0,0,157.3505121,Intel Core i5,0,256,Intel,Windows,220.290717
64,HP,Notebook,8,1.86,10.51225262,0,0,141.2119981,Intel Core i5,0,256,Intel,Windows,262.6543164
65,Asus,Ultrabook,16,1.8,11.56792715,0,0,141.2119981,Intel Core i7,0,512,Nvidia,Windows,254.1815965
66,HP,Notebook,4,1.86,10.05935404,0,0,100.4546699,Intel Core i3,500,0,AMD,Windows,186.8456859
67,HP,Notebook,4,1.44,9.40928303,0,0,111.9352036,Other Intel Processor,0,32,Intel,Windows,161.1866931
68,Lenovo,Notebook,4,1.9,10.28365947,0,0,141.2119981,Intel Core i5,1000,0,Intel,Windows,268.3027964
69,Asus,Gaming,12,3,10.83096982,0,0,127.3356746,Intel Core i7,1000,0,Nvidia,Others,382.0070237
70,Microsoft,Ultrabook,4,1.252,10.96857615,1,0,200.8425599,Intel Core i5,0,128,Intel,Windows,251.454885
71,Dell,Ultrabook,8,1.4,10.83727237,0,1,165.6321181,Intel Core i7,0,256,AMD,Windows,231.8849653
72,Dell,Notebook,8,2.2,10.74405424,0,0,141.2119981,Intel Core i7,0,256,AMD,Windows,310.6663958
73,MSI,Gaming,8,2.7,10.97407067,0,0,127.3356746,Intel Core i5,1000,128,Nvidia,Windows,343.8063213
74,Acer,Notebook,8,2.1,9.93914037,0,0,111.9352036,Intel Core i3,1000,0,Intel,Windows,235.0639275
75,Asus,Gaming,8,2.2,10.83096982,0,0,141.2119981,Intel Core i7,1000,0,Nvidia,Windows,310.6663958
76,Lenovo,Notebook,8,2.2,10.22746491,0,0,141.2119981,Intel Core i5,2000,0,Intel,Others,310.6663958
77,Dell,Notebook,8,2.02,10.7266625,0,0,141.2119981,Intel Core i7,1000,128,Intel,Windows,285.2482361
78,Acer,Notebook,4,2.2,10.24843803,0,0,141.2119981,Intel Core i3,1000,0,Nvidia,Windows,310.6663958
79,HP,Notebook,8,2.5,10.86004768,0,0,127.3356746,Intel Core i5,1000,128,Nvidia,Windows,318.3391864
80,Dell,Ultrabook,8,1.88,10.97512947,0,1,141.2119981,Intel Core i5,0,256,Intel,Windows,265.4785564
81,Apple,Ultrabook,8,0.92,11.29542596,0,1,226.4155472,Intel Core i5,0,512,Intel,Mac,208.3023034
82,HP,Notebook,8,1.63,10.73249342,0,0,157.3505121,Intel Core i5,0,256,Intel,Windows,256.4813348
83,Lenovo,Notebook,4,2.2,9.964522443,0,0,141.2119981,AMD Processor,0,128,AMD,Windows,310.6663958
84,Acer,Notebook,4,2.1,9.954446791,0,0,100.4546699,AMD Processor,1000,0,AMD,Windows,210.9548067
85,Dell,Gaming,16,2.65,11.18267988,0,1,141.2119981,Intel Core i7,1000,128,Nvidia,Windows,374.2117949
86,HP,Ultrabook,8,1.83,10.52521177,0,1,141.2119981,Intel Core i7,0,256,Nvidia,Windows,258.4179565
87,HP,Notebook,8,1.96,10.37080593,0,0,141.2119981,Intel Core i5,0,256,Intel,Windows,276.7755162
88,Asus,Gaming,16,2.2,11.25418997,0,1,141.2119981,Intel Core i7,1000,128,Nvidia,Windows,310.6663958
89,Dell,Ultrabook,8,1.21,11.38348535,0,1,165.6321181,Intel Core i7,0,256,Intel,Windows,200.4148628
90,Asus,Gaming,8,2.45,10.52521177,0,0,141.2119981,AMD Processor,1000,0,AMD,Windows,345.9693953
91,Acer,Notebook,8,2.2,10.5108023,0,0,141.2119981,Intel Core i7,1000,0,Nvidia,Windows,310.6663958
92,HP,Notebook,16,1.49,11.06313473,0,0,165.6321181,Intel Core i7,0,512,Intel,Windows,246.7918559
93,Dell,Gaming,8,2.65,11.06146249,0,0,141.2119981,Intel Core i5,0,256,Nvidia,Windows,374.2117949
94,Asus,Ultrabook,8,1.25,10.93115363,0,0,157.3505121,Intel Core i7,0,256,Intel,Windows,196.6881402
95,Acer,2 in 1 Convertible,8,1.5,10.71726172,1,1,165.6321181,Intel Core i5,0,256,Intel,Windows,248.4481771
96,Dell,Notebook,8,2.2,10.372324,0,0,141.2119981,Intel Core i7,1000,0,AMD,Others,310.6663958
97,Dell,Notebook,4,2.2,10.15970992,0,0,141.2119981,Intel Core i3,0,256,AMD,Others,310.6663958
98,Asus,Notebook,6,2,10.33340329,0,0,141.2119981,Intel Core i3,0,256,Nvidia,Windows,282.4239962
99,HP,Gaming,12,2.62,11.10565954,0,1,141.2119981,Intel Core i7,1000,128,Nvidia,Windows,369.975435
100,HP,Notebook,8,1.91,10.55342238,0,0,141.2119981,Intel Core i7,0,256,AMD,Windows,269.7149163
101,HP,Notebook,4,2.1,9.830632948,0,0,141.2119981,AMD Processor,500,0,AMD,Windows,296.545196
102,Dell,Notebook,8,2.2,10.44790732,0,0,141.2119981,Intel Core i5,1000,0,AMD,Others,310.6663958
103,HP,Ultrabook,8,1.38,10.99575173,0,1,165.6321181,Intel Core i7,0,256,Nvidia,Windows,228.5723229
104,Microsoft,Ultrabook,8,1.252,11.17598592,1,0,200.8425599,Intel Core i5,0,256,Intel,Windows,251.454885
105,HP,Notebook,6,1.58,10.46628456,0,1,157.3505121,Intel Core i5,0,256,Nvidia,Windows,248.6138092
106,Lenovo,Notebook,4,1.85,10.00359855,0,0,141.2119981,Intel Core i3,1000,0,Intel,Windows,261.2421965
107,Asus,Ultrabook,8,1.3,11.05978745,0,1,157.3505121,Intel Core i7,0,256,Nvidia,Windows,204.5556658
108,MSI,Gaming,16,2.2,11.14491104,0,0,141.2119981,Intel Core i7,1000,256,Nvidia,Windows,310.6663958
109,Lenovo,Notebook,8,1.58,11.27535839,0,1,157.3505121,Intel Core i7,0,256,Intel,Windows,248.6138092
110,Asus,Ultrabook,16,1.5,11.11601407,0,0,141.2119981,Intel Core i7,1000,256,Nvidia,Windows,211.8179971
111,Dell,Ultrabook,8,1.23,11.2046749,1,0,276.0535301,Intel Core i7,0,256,Intel,Windows,339.545842
112,Lenovo,2 in 1 Convertible,8,1.37,11.219074,1,1,165.6321181,Intel Core i5,0,256,Intel,Windows,226.9160017
113,HP,Notebook,4,1.63,10.55758617,0,1,111.9352036,Intel Core i5,500,0,Intel,Windows,182.4543818
114,Dell,Ultrabook,8,1.21,11.37128263,0,1,165.6321181,Intel Core i5,0,256,Intel,Windows,200.4148628
115,HP,2 in 1 Convertible,8,1.26,11.21906685,1,1,165.6321181,Intel Core i5,0,256,Intel,Windows,208.6964687
116,HP,Notebook,8,1.63,10.96397421,0,0,157.3505121,Intel Core i7,0,512,Intel,Windows,256.4813348
117,Dell,Notebook,8,2.16,11.00582593,0,1,141.2119981,Intel Core i7,1000,256,Nvidia,Windows,305.0179159
118,Asus,Notebook,4,2,10.31061528,0,0,127.3356746,Intel Core i3,1000,0,Nvidia,Windows,254.6713491
119,Asus,Notebook,8,1.7,10.99485768,0,0,141.2119981,Intel Core i7,0,256,Nvidia,Windows,240.0603967
120,Acer,Notebook,6,2.1,10.14726162,1,1,141.2119981,Intel Core i3,1000,0,Intel,Windows,296.545196
121,MSI,Gaming,16,1.8,11.69046159,0,0,141.2119981,Intel Core i7,2000,256,Nvidia,Windows,254.1815965
122,Lenovo,Notebook,8,2.2,10.41969228,0,0,141.2119981,Intel Core i5,0,256,Nvidia,Others,310.6663958
123,HP,Notebook,16,2.5,11.1231203,0,0,127.3356746,Intel Core i7,0,512,Nvidia,Windows,318.3391864
124,Acer,Notebook,4,2.1,10.08702837,0,0,100.4546699,AMD Processor,0,256,AMD,Windows,210.9548067
125,HP,Notebook,4,1.86,9.532389088,0,0,100.4546699,Other Intel Processor,500,0,Intel,Others,186.8456859
126,HP,Notebook,8,1.63,10.67506137,0,0,157.3505121,Intel Core i5,1000,0,Intel,Windows,256.4813348
127,Asus,Notebook,4,1.65,9.603146168,0,0,111.9352036,AMD Processor,0,64,AMD,Windows,184.6930859
128,Dell,Notebook,16,2.8,11.21692731,0,0,127.3356746,Intel Core i7,2000,256,AMD,Windows,356.5398888
129,HP,Notebook,8,2.5,10.80859276,0,0,127.3356746,Intel Core i5,0,256,Intel,Windows,318.3391864
130,Dell,Notebook,8,2.36,10.43544983,0,0,100.4546699,Intel Core i5,1000,0,AMD,Windows,237.0730209
131,Dell,Notebook,4,2.2,10.08258391,0,0,141.2119981,Intel Core i3,1000,0,AMD,Windows,310.6663958
132,Acer,Ultrabook,8,1.6,10.76001809,0,1,157.3505121,Intel Core i7,0,256,Intel,Windows,251.7608194
133,Acer,Notebook,4,2.2,10.32470002,0,0,141.2119981,Intel Core i3,0,256,Nvidia,Windows,310.6663958
134,HP,Notebook,8,2.05,10.36915178,0,0,100.4546699,Intel Core i7,1000,0,Intel,Windows,205.9320732
135,HP,Notebook,8,1.63,10.87124372,0,0,157.3505121,Intel Core i7,0,256,Intel,Windows,256.4813348
136,Lenovo,Notebook,4,1.9,9.506417666,0,0,100.4546699,Other Intel Processor,1000,0,Intel,Others,190.8638727
137,Asus,Gaming,8,3,10.81931098,0,0,127.3356746,Intel Core i5,1000,128,Nvidia,Windows,382.0070237
138,Lenovo,Notebook,4,2.2,10.18816712,0,0,141.2119981,Intel Core i5,1000,0,Nvidia,Others,310.6663958
139,HP,Notebook,4,1.32,10.52521177,0,1,165.6321181,Intel Core i5,0,256,Intel,Windows,218.6343958
140,Acer,Notebook,4,3,10.46019626,0,1,127.3356746,Intel Core i3,1000,0,Nvidia,Windows,382.0070237
141,Lenovo,Notebook,8,1.75,10.99308509,0,1,157.3505121,Intel Core i5,0,256,AMD,Windows,275.3633963
142,Lenovo,Gaming,8,2.4,10.74290415,0,1,141.2119981,Intel Core i7,0,256,Nvidia,Others,338.9087954
143,Toshiba,Notebook,4,2.1,10.37581847,0,0,100.4546699,Intel Core i5,500,0,Intel,Windows,210.9548067
144,HP,Notebook,4,1.86,9.88635767,0,0,100.4546699,AMD Processor,0,256,AMD,Windows,186.8456859
145,Asus,Ultrabook,8,1.25,10.97771698,0,0,157.3505121,Intel Core i7,0,256,Intel,Windows,196.6881402
146,HP,Ultrabook,8,0.97,11.5834391,1,1,352.4651472,Other Intel Processor,0,512,Intel,Windows,341.8911928
147,Asus,Notebook,4,2,9.816202684,0,0,141.2119981,Other Intel Processor,1000,0,Intel,Windows,282.4239962
148,MSI,Gaming,16,2.9,11.59085937,0,0,127.3356746,Intel Core i7,1000,256,Nvidia,Windows,369.2734563
149,Acer,Notebook,4,2.1,10.07811962,0,0,100.4546699,Intel Core i3,1000,0,Intel,Windows,210.9548067
150,Dell,Gaming,16,2.56,11.10586768,0,0,141.2119981,Intel Core i7,0,512,Nvidia,Windows,361.5027151
151,Dell,Gaming,8,2.62,10.77684406,0,0,141.2119981,Intel Core i7,0,0,Nvidia,Windows,369.975435
152,Lenovo,Notebook,4,1.9,10.1861611,0,0,100.4546699,Intel Core i5,0,128,Intel,Windows,190.8638727
153,MSI,Gaming,16,2.8,11.51989313,0,0,127.3356746,Intel Core i7,1000,256,Nvidia,Windows,356.5398888
154,HP,Ultrabook,4,1.48,10.96212749,0,0,157.3505121,Intel Core i5,0,256,Intel,Windows,232.878758
155,HP,Notebook,6,1.91,10.4036663,0,0,141.2119981,Intel Core i5,0,256,AMD,Windows,269.7149163
156,Lenovo,2 in 1 Convertible,4,1.74,10.41969228,1,1,157.3505121,Intel Core i3,0,256,Intel,Windows,273.7898911
157,Asus,2 in 1 Convertible,8,1.1,11.15715297,1,0,165.6321181,Intel Core i5,0,256,Intel,Windows,182.1953299
158,Dell,2 in 1 Convertible,8,1.56,10.93115363,1,0,141.2119981,Intel Core i7,0,256,Intel,Windows,220.290717
159,Toshiba,Notebook,4,2.1,10.07811962,0,0,100.4546699,Intel Core i3,500,0,Intel,Windows,210.9548067
160,Asus,Notebook,4,2.03,9.974497588,0,0,100.4546699,AMD Processor,1000,0,AMD,Windows,203.9229798
161,Acer,Notebook,4,3,10.6664033,0,1,127.3356746,Intel Core i5,0,256,Nvidia,Windows,382.0070237
162,Dell,Notebook,8,2.13,10.56586207,0,0,141.2119981,Intel Core i5,0,256,AMD,Windows,300.7815559
163,Lenovo,Gaming,16,2.5,10.95935099,0,1,141.2119981,Intel Core i7,0,256,Nvidia,Windows,353.0299952
164,Acer,Notebook,4,2.1,9.827763506,0,0,100.4546699,Other Intel Processor,1000,0,Intel,Windows,210.9548067
165,MSI,Gaming,16,2.4,11.47054726,0,1,141.2119981,Intel Core i7,1000,256,Nvidia,Windows,338.9087954
166,Acer,Notebook,4,2.1,9.871367833,0,0,100.4546699,Other Intel Processor,1000,0,Intel,Windows,210.9548067
167,Dell,Gaming,8,2.56,10.94204737,0,0,141.2119981,Intel Core i7,1000,128,Nvidia,Windows,361.5027151
168,Acer,Notebook,8,3,10.72549222,0,1,127.3356746,Intel Core i5,0,256,Nvidia,Windows,382.0070237
169,HP,Notebook,4,1.49,10.60095339,0,1,165.6321181,Intel Core i5,500,0,Intel,Windows,246.7918559
170,Huawei,Ultrabook,8,1.05,11.18267988,0,1,199.6920706,Intel Core i5,0,256,Intel,Windows,209.6766742
171,HP,Notebook,6,2.71,10.52521177,0,1,127.3356746,Intel Core i5,2000,0,AMD,Windows,345.0796781
172,Lenovo,Notebook,4,2.2,9.708902303,0,0,100.4546699,AMD Processor,500,0,AMD,Others,221.0002737
173,Toshiba,Notebook,4,2,10.16792352,0,0,100.4546699,Intel Core i3,500,0,Intel,Windows,200.9093397
174,HP,Notebook,8,2.5,10.80319026,0,0,127.3356746,Intel Core i5,0,256,Nvidia,Windows,318.3391864
175,Dell,Notebook,8,2.3,10.10461124,0,0,100.4546699,Intel Core i3,1000,0,Intel,Windows,231.0457407
176,Acer,Notebook,4,2.1,10.08258391,0,0,100.4546699,Intel Core i3,0,128,Intel,Windows,210.9548067
177,MSI,Gaming,32,4.4,11.91257852,0,0,119.7232158,Intel Core i7,1000,512,Nvidia,Windows,526.7821494
178,Lenovo,Notebook,8,1.9,10.67629214,0,0,141.2119981,Intel Core i5,1000,128,AMD,Windows,268.3027964
179,HP,2 in 1 Convertible,8,1.29,11.28811452,1,1,331.2642361,Intel Core i5,0,256,Intel,Windows,427.3308646
180,Dell,Notebook,16,2.02,10.93115363,0,0,141.2119981,Intel Core i7,2000,256,AMD,Others,285.2482361
181,Dell,Ultrabook,8,1.23,11.219074,0,0,165.6321181,Intel Core i5,0,256,Intel,Windows,203.7275052
182,Lenovo,2 in 1 Convertible,16,1.4,11.49796126,1,1,316.9650604,Intel Core i7,0,512,Intel,Windows,443.7510846
183,Toshiba,Notebook,8,2,10.65138425,0,0,100.4546699,Intel Core i5,0,128,Intel,Windows,200.9093397
184,Xiaomi,Notebook,8,1.95,11.06480418,0,1,141.2119981,Intel Core i5,0,256,Nvidia,Others,275.3633963
185,Dell,Notebook,16,2.77,11.32092587,1,0,127.3356746,Intel Core i7,0,512,Nvidia,Windows,352.7198186
186,Dell,Notebook,16,2.06,11.75753426,1,0,282.4239962,Intel Core i7,0,512,Nvidia,Windows,581.7934321
187,Lenovo,Gaming,8,2.4,10.63357207,0,1,141.2119981,Intel Core i5,0,256,Nvidia,Others,338.9087954
188,Acer,Ultrabook,8,1.12,10.87225536,0,1,165.6321181,Intel Core i5,0,256,Intel,Windows,185.5079722
189,Dell,Notebook,8,2.8,10.96489629,0,0,127.3356746,Intel Core i7,1000,128,AMD,Windows,356.5398888
190,Lenovo,2 in 1 Convertible,16,1.42,11.92147062,1,0,209.8006829,Intel Core i7,0,1000,Intel,Windows,297.9169697
191,Vero,Notebook,4,1.3,9.536242657,0,1,157.3505121,Other Intel Processor,0,0,Intel,Windows,204.5556658
192,Xiaomi,Ultrabook,8,1.3,10.8832163,0,1,165.6321181,Intel Core i5,0,256,Nvidia,Others,215.3217535
193,Lenovo,Notebook,8,2.8,10.52378013,0,0,106.1130621,Intel Core i5,0,256,Nvidia,Others,297.116574
194,Dell,2 in 1 Convertible,8,1.62,10.70777173,1,1,165.6321181,Intel Core i7,1000,0,Intel,Windows,268.3240312
195,HP,Notebook,8,2.5,10.7933916,0,1,127.3356746,Intel Core i5,1000,0,Nvidia,Windows,318.3391864
196,Razer,Gaming,32,3.49,12.69144113,1,0,254.6713491,Intel Core i7,0,1000,Nvidia,Windows,888.8030085
197,HP,Notebook,8,1.49,10.8414521,0,0,165.6321181,Intel Core i5,0,512,Intel,Windows,246.7918559
198,HP,Gaming,16,3.35,11.2046749,0,1,127.3356746,Intel Core i7,1000,256,Nvidia,Windows,426.5745098
199,HP,Notebook,8,2.5,10.92733319,0,0,127.3356746,Intel Core i7,0,256,Nvidia,Windows,318.3391864
200,Dell,Gaming,16,2.65,11.49579558,0,1,282.4239962,Intel Core i7,1000,512,Nvidia,Windows,748.4235898
201,Lenovo,Notebook,4,2.1,10.1760702,0,0,100.4546699,Intel Core i5,0,128,Intel,Windows,210.9548067
202,Acer,Notebook,8,2.23,10.58491027,0,0,141.2119981,Intel Core i7,1000,0,Nvidia,Windows,314.9027557
203,Lenovo,Gaming,16,3.2,11.4423605,0,1,141.2119981,Intel Core i7,1000,512,Nvidia,Windows,451.8783939
204,Dell,Workstation,16,2.8,12.0000959,0,0,282.4239962,Other Intel Processor,1000,256,Nvidia,Windows,790.7871893
205,Lenovo,Gaming,16,2.4,11.21835895,0,0,141.2119981,Intel Core i7,0,512,Nvidia,Others,338.9087954
206,Dell,Notebook,6,2.3,10.06006044,1,0,100.4546699,Intel Core i3,1000,0,Intel,Windows,231.0457407
207,Dell,Ultrabook,8,1.21,11.55063273,1,1,331.2642361,Intel Core i7,0,256,Intel,Windows,400.8297257
208,Dell,Ultrabook,8,1.2,11.25418997,0,0,165.6321181,Intel Core i7,0,256,Intel,Windows,198.7585417
209,Lenovo,Notebook,8,2.2,10.36747814,0,0,100.4546699,Intel Core i5,0,256,Intel,Windows,221.0002737
210,Acer,Notebook,8,2.4,10.63357207,0,0,141.2119981,Intel Core i7,1000,0,Nvidia,Others,338.9087954
211,Asus,Gaming,16,2.9,11.22477608,0,0,127.3356746,Intel Core i7,1000,256,Nvidia,Windows,369.2734563
212,HP,Notebook,4,2.1,9.830632948,0,0,141.2119981,Intel Core i3,500,0,Intel,Others,296.545196
213,Lenovo,Notebook,8,2.2,10.28365947,0,0,141.2119981,Intel Core i5,0,256,Intel,Others,310.6663958
214,Huawei,Ultrabook,8,1.05,11.28811452,0,1,199.6920706,Intel Core i7,0,512,Intel,Windows,209.6766742
215,Dell,Ultrabook,8,1.4,10.81276508,0,1,165.6321181,Intel Core i7,0,256,AMD,Windows,231.8849653
216,Lenovo,Notebook,8,2.8,10.35398721,0,0,106.1130621,Intel Core i5,1000,0,Nvidia,Others,297.116574
217,HP,Notebook,8,1.63,10.91384551,0,0,157.3505121,Intel Core i7,0,256,Nvidia,Windows,256.4813348
218,Dell,Ultrabook,8,1.6,11.0222083,0,0,157.3505121,Intel Core i5,0,256,Intel,Windows,251.7608194
219,Dell,2 in 1 Convertible,16,1.62,11.12939483,1,0,165.6321181,Intel Core i7,0,512,Intel,Windows,268.3240312
220,Dell,Notebook,8,2.2,10.49374915,0,0,141.2119981,Intel Core i5,0,256,AMD,Others,310.6663958
221,Lenovo,2 in 1 Convertible,8,1.74,10.77684406,0,1,157.3505121,Intel Core i5,0,256,Intel,Windows,273.7898911
222,Toshiba,Ultrabook,8,1.2,11.19300446,0,0,165.6321181,Intel Core i7,0,256,Intel,Windows,198.7585417
223,HP,Notebook,8,2.1,10.65264449,0,0,141.2119981,Intel Core i5,1000,0,Intel,Windows,296.545196
224,Dell,Gaming,16,4.42,11.78198874,0,1,127.3356746,Intel Core i7,1000,256,Nvidia,Windows,562.8236816
225,Acer,Notebook,8,2.2,10.69939347,0,0,141.2119981,Intel Core i7,0,256,Nvidia,Windows,310.6663958
226,Dell,Notebook,16,2.3,10.73134159,1,0,141.2119981,Intel Core i7,1000,0,AMD,Windows,324.7875956
227,Asus,Notebook,8,2,10.620652,0,0,141.2119981,Intel Core i5,0,256,Nvidia,Windows,282.4239962
